NO,NOx,CO,NO2,O3,PM10,PM2.5,SO2,Class
4.5,31,0.68,26,2.8,40,14,4.1,0
4.5,29,0.6,24,1.6,39,14,3.2,0
3.6,28,0.5,24,1.3,35,15,3.5,0
3.3,24,0.49,21,1.5,35,17,2.8,0
2.7,21,0.41,18,2,34,16,2.7,0
4.2,21,0.45,16,1.6,34,14,2.2,0
14,31,0.57,18,0.9,38,17,4.3,0
16,32,0.5,16,2.9,40,18,5.5,0
11,30,0.54,18,9.4,48,21,6.7,0
5.4,19,0.42,14,20,40,24,6.7,0
2.3,9.6,0.26,7.3,33,32,19,3.7,0
2.2,11,0.3,9.1,41,35,18,3.1,0
1.3,10,0.28,8.7,55,37,19,3,1
1.5,11,0.33,9.6,56,38,21,2.5,1
1.2,11,0.35,10,50,43,22,2.5,0
1.5,12,0.32,10,47,50,25,2.5,0
1.6,13,0.3,11,50,54,27,3.6,1
1.3,13,0.34,11,43,50,25,3.2,0
1.3,18,0.47,17,30,50,26,2.6,0
1.7,25,0.53,23,18,54,24,3.3,1
1.7,23,0.51,21,16,51,25,3.8,1
0.7,16,0.36,15,18,44,28,3.5,0
0.9,14,0.32,13,17,37,21,3.4,0
1.4,18,0.37,16,12,35,16,4.6,0
2.1,20,0.44,18,8.9,40,17,2.5,0
0.9,16,0.41,15,9.7,43,23,2,0
0.9,14,0.35,13,11,42,22,2.4,0
1.4,16,0.39,15,6.9,42,20,3.2,0
2.8,22,0.42,20,1.4,43,22,4.2,0
11,28,0.32,18,0.8,43,20,4.4,0
11,27,0.38,16,1.5,42,20,3.7,0
16,34,0.56,18,5.4,44,26,3.7,0
15,36,0.76,21,13,45,27,2.9,0
9.9,30,0.73,21,29,40,24,3.1,0
3.7,19,0.48,16,52,39,22,3.2,1
2.7,17,0.34,14,71,40,19,4.8,1
2.3,17,0.32,15,74,49,19,4.8,1
2,14,0.3,12,73,59,21,5.1,1
1.9,13,0.21,11,52,56,19,3.9,1
2.5,14,0.21,12,42,51,17,4.2,1
2.8,15,0.23,12,35,50,15,5,0
2.2,14,0.24,12,35,43,15,5,0
2.5,18,0.31,15,26,42,16,6.1,0
2.9,24,0.4,21,16,44,15,7.1,0
2.9,28,0.48,25,9.9,42,12,6.5,0
2.9,28,0.49,25,8.2,39,10,5.3,0
6.1,34,0.62,28,4.2,40,15,5,0
3,27,0.52,24,6.3,37,20,4.4,0
2.1,25,0.38,23,6.5,34,18,5.7,0
5,26,0.34,21,6.4,38,18,4.7,0
1.1,16,0.22,15,10,35,19,2.8,0
1.3,14,0.18,13,14,29,18,4,0
1.3,17,0.2,16,13,28,18,4,0
1.8,16,0.23,15,12,29,15,3.1,0
2.7,20,0.27,17,10,24,13,3.1,0
5.1,22,0.33,17,12,27,15,3.2,0
7.5,26,0.52,18,17,31,13,4,0
9.7,31,0.53,21,19,31,13,3.7,0
4.8,18,0.3,13,31,35,15,2.9,0
3.1,15,0.26,12,43,51,17,2.2,1
2.4,15,0.26,13,52,55,17,3.4,1
2.2,17,0.32,15,60,48,15,4.4,1
2.4,15,0.27,13,57,54,16,3.7,1
2.3,16,0.28,14,60,57,17,4.1,1
2,22,0.3,20,40,55,113,4.4,2
2.5,20,0.33,17,28,50,0,5.7,0
2.6,23,0.42,20,23,44,13,6,0
2.2,25,0.45,23,17,45,15,7,0
2.5,28,0.54,26,13,48,17,8.6,0
11,50,1.09,39,4.5,53,21,4.7,1
2.7,29,0.55,26,6,51,19,4.7,1
4.8,34,0.78,29,11,48,16,3.2,0
2,20,0.48,18,19,43,17,2,0
1.9,22,0.5,20,14,39,17,2.3,0
1.2,12,0.3,11,25,42,18,3.1,0
1.2,15,0.33,14,21,44,18,3.1,0
0.7,12,0.25,11,23,43,17,3.2,0
0.3,9.5,0.23,9.2,22,37,17,2.6,0
0.5,16,0.29,15,18,37,18,3.2,0
5.4,30,0.55,25,8.4,38,17,3,0
19,52,1.11,33,1.2,40,18,3.7,0
23,56,1.42,33,1.4,39,23,3.5,0
2.5,31,0.59,28,11,29,22,3,0
19,53,0.69,34,2,28,17,3.5,0
18,54,0.69,36,3.4,34,15,3.4,0
12,45,0.64,32,5,32,13,3,0
9,37,0.6,28,4.9,28,10,2.9,0
20,54,0.72,34,3.3,31,15,3.1,0
41,78,0.97,36,1.6,33,19,3.9,0
30,65,0.83,34,2.5,29,16,3.5,0
16,52,0.81,36,3.5,32,16,5,0
15,55,0.83,40,5.8,34,12,11,0
4,34,0.61,30,24,24,8,5.4,0
3.7,38,0.57,34,19,21,10,9.8,0
1.5,28,0.57,27,27,23,12,5.8,0
1.4,25,0.54,24,31,21,10,4.6,0
0.9,19,0.42,19,35,24,13,5.2,0
0.5,11,0.3,11,43,33,15,4.3,0
0.5,8.4,0.23,8,47,35,14,2.8,0
0.4,5.4,0.18,5,50,33,13,1.8,0
0.7,6.7,0.19,6,46,31,15,1.5,0
0.9,8,0.2,7.1,45,34,15,1.6,0
1.2,11,0.24,9.7,43,38,15,1.6,0
2,23,0.34,21,36,39,19,1.7,0
3,27,0.6,24,42,45,21,2.1,0
4.8,34,0.72,29,38,49,26,1.8,0
3.1,32,0.56,29,41,51,28,1.8,1
4,32,0.52,28,41,56,27,2,1
4.1,32,0.53,28,37,55,26,2,1
2.6,25,0.49,22,47,53,22,2,1
2.6,24,0.45,21,45,50,20,1.8,0
2.2,23,0.44,21,46,35,10,1.6,0
2,26,0.48,24,43,35,12,1.7,0
2.8,31,0.62,28,38,35,14,1.7,0
1.7,28,0.69,26,39,31,13,1.6,0
1.3,23,0.54,21,43,32,14,1.6,0
1.5,22,0.5,20,43,35,15,1.7,0
1.3,21,0.48,20,45,26,12,1.6,0
0.7,19,0.5,19,47,20,9,1.5,0
0.5,16,0.41,16,50,20,6,1.5,0
0.8,12,0.31,11,55,17,6,1.7,1
1,11,0.28,9.6,53,18,5,2.2,1
0.8,10,0.27,9.4,50,13,4,2.3,0
1.8,12,0.26,10,43,9,5,2.2,0
2.2,13,0.27,11,39,6,4,1.9,0
2.2,16,0.38,13,33,7,4,2.1,0
6,33,0.55,27,16,11,5,2.7,0
13,47,0.98,34,14,20,6,3.6,0
14,46,1.06,32,26,23,9,4.4,0
7.7,32,0.67,24,37,21,10,4.5,0
6.1,24,0.48,18,43,22,10,4,0
3.7,21,0.45,17,44,24,10,2.4,0
6.8,38,0.61,32,21,28,11,3.7,0
6.9,42,0.65,35,19,31,16,3.8,0
6.6,41,0.61,34,27,29,17,2.9,0
5.3,35,0.64,29,45,29,18,3,0
5,43,0.87,38,38,33,22,2.6,0
3.9,48,1.14,44,29,33,20,2.8,0
17,79,2.03,62,5.6,39,24,3.4,1
18,65,1.65,47,3,42,23,4.5,0
27,74,1.61,47,0.6,34,17,4.9,0
29,75,1.66,46,0.8,32,17,5.2,0
14,55,1.25,41,2.6,37,16,3.8,0
5.7,43,0.88,37,3,40,15,4.6,0
5.4,39,0.61,33,2.2,44,17,5.7,0
3.7,33,0.53,29,3.8,44,17,5.7,0
3.1,32,0.55,29,4.7,44,21,10,0
2.9,29,0.53,26,3.7,43,24,9.9,0
1.8,21,0.39,19,8.9,40,21,6.1,0
1.2,19,0.45,18,9.3,37,17,3.5,0
2.7,22,0.44,19,18,27,12,3.7,0
1.8,19,0.52,17,29,21,10,2.6,0
2.8,20,0.54,18,30,17,8,3,0
4.2,27,0.59,23,26,24,10,5.4,0
3.1,21,0.51,18,30,28,14,3.4,0
3,20,0.49,17,34,27,17,3.1,0
2.3,18,0.45,16,38,26,12,2.9,0
2.3,17,0.45,15,41,22,7,2.2,0
1.7,19,0.56,17,41,26,11,2.1,0
1.6,22,0.61,20,38,26,17,2.2,0
4.5,48,1.05,43,17,29,19,2.5,0
14,59,1.1,45,4.1,33,18,3.1,0
17,62,1.23,45,3.2,29,16,3.2,0
27,72,1.47,45,0.7,27,14,3,0
15,55,1.03,40,2.5,26,12,2.5,0
22,60,1.23,38,1.5,21,11,2.6,0
30,67,1.37,37,0.5,21,11,2.9,0
26,61,1.29,35,0.6,23,10,2.7,0
20,53,1.19,33,0.6,23,10,2.6,0
28,61,1.33,33,0.6,23,10,3.1,0
20,51,0.93,31,5,23,10,3.6,0
0.1,14,0.33,14,18,23,6,5.4,0
0.3,17,0.37,17,15,18,3,4.1,0
0.1,11,0.25,11,22,13,2,3.3,0
4.8,31,0.53,26,7,15,4,3.5,0
3.5,27,0.56,24,10,17,7,5,0
8.5,35,0.72,27,9.5,17,8,5.1,0
2.2,16,0.35,14,24,20,10,4,0
2.1,12,0.29,10,32,10,7,3,0
1.8,12,0.31,10,32,6,4,2.6,0
1.9,11,0.29,9,33,13,0,2.5,0
1.7,13,0.29,11,29,10,0,3.1,0
1.8,12,0.26,11,31,11,4,2.3,0
1.6,15,0.34,13,34,12,2,2.1,0
0.9,14,0.35,13,36,10,3,1.9,0
1.6,27,0.57,25,22,11,8,2.2,0
2.2,30,0.64,27,20,15,7,2,0
2.5,34,0.66,32,17,18,4,2.1,0
1.8,30,0.62,29,19,18,6,2.6,0
2.1,29,0.59,27,19,13,10,2,0
2.6,31,0.58,28,18,12,8,2.8,0
0.9,20,0.46,19,26,11,6,2.2,0
0.3,17,0.41,17,25,10,5,5,0
0.1,12,0.29,12,31,15,6,3.5,0
0.8,11,0.24,11,31,15,7,4.8,0
1,10,0.24,9.1,33,15,7,3.5,0
1,8.8,0.21,7.9,34,15,7,2,0
1.5,15,0.31,14,25,10,4,2,0
3.9,26,0.43,22,18,13,4,2.4,0
11,41,0.84,30,15,23,10,4.2,0
8.8,39,0.95,30,19,21,14,4.2,0
13,48,0.84,35,15,17,15,3.2,0
14,49,0.74,35,17,20,11,2.5,0
11,43,0.64,31,21,21,10,2.4,0
5.9,28,0.47,22,31,21,10,2.5,0
5.6,29,0.46,23,30,20,12,2.7,0
5.1,44,0.63,39,21,43,17,3.7,0
7.9,49,0.77,41,18,39,15,4,0
7.9,49,0.78,41,16,39,15,5.5,0
4.2,34,0.69,30,22,42,15,2.9,0
3.3,33,0.64,30,25,32,15,2.9,0
3.1,31,0.6,28,26,29,14,3.3,0
2.4,28,0.57,26,26,35,17,3.4,0
2.2,24,0.49,22,28,38,19,3.4,0
1.3,15,0.33,13,35,38,18,2.8,0
1.4,14,0.31,12,33,35,20,2.7,0
1.4,11,0.23,9.1,36,34,22,2.9,0
1.2,11,0.2,9.4,37,37,20,3.2,0
1.5,12,0.23,11,35,38,17,3.3,0
1.6,16,0.28,14,29,38,18,6.1,0
4.8,28,0.41,23,21,40,20,4.6,0
7.6,37,0.7,29,21,46,20,5.7,0
11,48,0.84,37,16,49,18,10,0
21,64,0.95,42,11,49,22,11,0
19,62,0.67,43,11,49,25,11,0
14,56,0.6,42,14,43,25,13,0
7.9,37,0.49,29,24,38,25,4.4,0
7.3,43,0.63,35,20,43,23,4.1,0
8.7,46,0.72,38,14,49,19,5.3,0
10,51,0.76,41,9.4,45,20,5.5,0
10,50,0.91,40,7.7,35,22,3.6,0
13,54,1.08,41,4.5,35,20,3,0
19,61,1.35,42,1.1,42,21,2.9,0
24,64,1.43,40,0.8,39,22,3,0
41,79,1.75,39,0.7,38,21,3.2,0
20,57,1.33,36,0.7,35,18,2.9,0
30,66,1.44,36,0.6,33,20,3.1,0
34,69,1.53,35,0.6,37,22,3.1,0
23,53,1.14,30,0.6,35,16,2.7,0
23,52,1.18,29,0.6,29,15,2.7,0
34,66,1.43,32,0.6,32,20,3.1,0
31,61,1.32,30,0.7,34,20,3.3,0
39,68,1.43,29,0.9,34,19,3.8,0
38,70,1.48,33,2.4,39,20,4.4,0
38,82,1.89,44,5.2,48,26,3.7,0
23,73,2.01,49,11,55,28,3.3,1
13,56,1.46,43,24,61,27,4,1
6,37,0.74,31,44,59,23,6,1
4.8,34,0.53,30,52,55,21,6.4,1
4.1,28,0.46,24,43,49,21,5,0
3,19,0.29,16,39,35,14,3.9,0
2.7,15,0.22,12,33,28,9,3.5,0
2.3,15,0.23,13,30,24,6,3.1,0
2.6,17,0.29,15,23,24,5,2.2,0
3.7,26,0.48,22,14,23,9,2.6,0
9.9,42,0.84,32,3.9,26,12,3.9,0
25,58,1.41,33,2.3,28,12,2.9,0
4.7,29,0.6,24,6.6,22,11,4.8,0
31,55,1.33,25,1,27,9,3.1,0
56,81,2.05,25,0.9,29,8,3.9,0
58,82,2.02,25,0.8,29,9,3.8,0
47,71,1.39,24,0.8,38,10,6.3,0
27,48,0.73,22,0.5,40,11,6.8,0
24,44,0.49,20,0.5,38,13,6.3,0
14,31,0.38,17,0.7,34,12,5.9,0
19,37,0.5,19,0.7,28,12,5.5,0
22,41,0.66,18,0.9,27,12,4,0
48,69,0.89,21,1.5,31,11,4.7,0
20,40,0.54,20,6.3,33,11,5,0
11,29,0.44,18,11,28,15,3.6,0
8.4,26,0.38,17,22,32,14,3,0
3.7,13,0.21,9.4,36,33,10,2.3,0
3.5,11,0.19,7.4,36,35,12,2.2,0
3.3,10,0.17,6.8,36,37,15,2.3,0
3.3,11,0.18,7.5,34,31,12,2.7,0
3.8,13,0.19,9.2,32,29,10,3.6,0
3.8,13,0.19,8.9,33,29,11,3.1,0
3.6,14,0.23,10,33,31,13,2.8,0
3.7,22,0.41,18,27,35,15,4.1,0
2.2,21,0.44,18,25,39,13,4.8,0
2.4,20,0.37,17,19,38,14,4.4,0
2.8,23,0.4,20,13,38,15,4.7,0
3.7,25,0.43,21,6.8,40,15,5.6,0
3.6,21,0.36,18,6.2,39,15,3.4,0
3.2,18,0.3,15,7.5,37,15,3.7,0
3.9,21,0.33,17,3.8,35,11,3.8,0
2.8,19,0.27,16,4.8,34,11,4.5,0
3.2,19,0.27,16,4.2,34,14,4.3,0
6,24,0.32,18,2.1,34,15,5.5,0
2.9,19,0.25,16,3.9,32,12,4.4,0
6.6,24,0.33,17,2.6,28,9,5.2,0
11,27,0.38,16,5.6,31,8,4.4,0
9.4,25,0.42,16,12,31,12,4.5,0
6.7,20,0.34,13,22,29,12,3.4,0
4.7,17,0.29,13,34,32,12,3.2,0
3.1,14,0.24,11,45,34,11,3.1,0
3,15,0.26,12,57,39,10,3.9,1
2.6,14,0.27,11,58,44,14,3.7,1
2.6,13,0.21,10,58,44,17,3.5,1
3.2,15,0.23,12,52,49,16,4.2,1
3.3,16,0.24,12,48,50,15,4.3,0
3.8,19,0.3,16,42,44,15,5.1,0
3.5,24,0.42,20,35,51,18,5.1,1
3.3,30,0.62,27,22,53,18,5.9,1
2.7,25,0.49,23,18,39,15,6,0
4.5,36,0.69,31,7.8,37,17,5.8,0
4.4,31,0.64,27,10,42,16,6.9,0
3.4,30,0.59,26,6.5,42,15,5.9,0
3.8,30,0.55,26,5.3,40,14,7.6,0
8.3,37,0.59,28,1.9,43,16,9.2,0
3.2,25,0.34,22,4.7,39,19,5.3,0
3.9,25,0.34,22,3.5,34,17,5.1,0
5,24,0.38,19,4.3,32,12,2.6,0
4.8,21,0.4,16,2.7,29,9,2.1,0
15,34,0.57,18,1.5,32,10,4.6,0
13,32,0.5,19,7,38,13,5.4,0
7.8,24,0.42,16,14,37,15,4.3,0
3.9,15,0.28,11,26,35,11,2.3,0
3.8,16,0.3,12,34,37,10,2.4,0
2.6,13,0.25,10,44,38,12,2.6,0
2.4,14,0.28,12,52,45,15,3.1,1
2.1,12,0.25,10,54,49,15,2.9,1
2.4,12,0.25,9.8,50,45,15,2.7,0
2.6,16,0.27,13,44,49,14,4.1,0
2.8,15,0.28,12,45,51,12,4,1
2.3,15,0.28,13,39,50,10,3.2,0
2.3,18,0.36,16,33,48,11,2.9,0
1.4,20,0.45,19,26,42,11,4.8,0
2.9,27,0.52,24,12,42,13,5,0
2.4,25,0.51,23,9.2,45,16,4.5,0
3.3,24,0.41,20,6.5,43,18,4.7,0
3.5,22,0.41,18,5.3,42,17,4.2,0
2.4,19,0.33,16,6.5,44,15,5,0
2,17,0.3,15,6.3,46,16,5.3,0
1.8,17,0.25,15,6.3,44,15,6.4,0
1.6,15,0.22,13,7.4,35,15,5.1,0
1.9,17,0.23,15,9,31,15,5.6,0
0.7,11,0.18,10,23,34,11,4,0
1,15,0.25,14,11,34,13,3.2,0
5.4,23,0.4,17,5.3,28,12,3.2,0
4.1,22,0.42,18,9.3,23,12,2.9,0
6.1,21,0.39,15,12,26,13,3.1,0
3.8,18,0.37,14,18,35,14,3.6,0
2.6,18,0.34,15,32,35,15,3.3,0
1.6,12,0.29,11,47,39,17,3,0
0.6,10,0.29,9.5,59,45,19,3.1,1
0.6,9.1,0.25,8.5,61,39,16,2.9,1
1.4,11,0.27,10,55,39,16,3,1
1.9,17,0.33,15,45,46,18,3.6,0
1.2,16,0.33,15,45,48,17,3.9,0
1.3,22,0.52,21,39,44,17,3.6,0
1.1,24,0.63,22,37,46,23,3.6,0
0.8,23,0.56,22,33,50,24,3.9,0
0.8,26,0.64,25,25,45,25,4.2,0
2.3,31,0.65,28,20,46,30,4.5,0
0.8,15,0.33,14,32,42,24,3.8,0
0.6,18,0.43,17,27,33,15,3.7,0
0.7,23,0.54,23,19,37,14,3.7,0
0.9,21,0.45,20,16,39,10,2.8,0
0.6,22,0.42,21,13,35,10,3.5,0
1.2,14,0.36,13,12,32,16,2.7,0
1.3,14,0.38,12,12,33,18,2.1,0
1.3,15,0.39,14,10,31,18,2.4,0
10,27,0.46,17,7.3,24,12,2.4,0
16,38,0.79,23,5.5,39,12,4,0
11,34,0.75,23,9.1,46,20,4.4,0
9.1,36,0.64,27,17,45,24,6.8,0
5.7,25,0.42,19,28,51,25,4,1
3.6,18,0.32,15,30,42,16,3.3,0
3.7,21,0.37,18,29,31,10,3.6,0
2.7,20,0.31,17,35,31,13,3.5,0
2.2,19,0.33,17,46,40,20,5.5,0
1.7,21,0.45,20,48,50,20,4.4,0
1.5,18,0.36,16,42,50,20,3.5,0
2,20,0.44,18,23,48,19,3.5,0
4.7,32,0.75,27,13,43,16,4.3,0
5.9,58,1.38,52,9.7,48,24,6.1,1
4.6,53,1.19,48,9.7,51,27,5,1
6.3,53,1.2,47,8.6,48,25,4.6,0
5.5,51,1.25,45,5.6,50,25,4,0
3.2,37,0.93,34,5.9,54,26,2.8,1
5.1,35,0.81,30,2.5,56,27,3.2,1
2.5,20,0.51,18,5.1,49,24,2,0
1.5,16,0.39,15,4.3,38,15,2,0
16,43,0.67,27,1.5,45,18,5.8,0
18,44,0.75,26,0.8,54,22,6.4,1
18,38,0.62,21,1.1,53,17,6.5,1
29,54,0.73,26,2.6,50,20,7.6,0
21,57,1.05,36,11,53,25,5.8,1
7.3,35,0.82,27,28,51,25,4.1,1
1.5,22,0.57,20,58,48,24,4.3,1
1.2,21,0.4,20,63,53,25,5.8,1
0.6,16,0.31,15,69,50,23,3.2,1
0.5,16,0.34,16,80,44,20,4,1
0.2,15,0.32,15,79,44,22,4.7,1
0.3,15,0.28,15,67,50,20,4.6,1
0.4,19,0.34,19,50,49,17,4,0
1.6,32,0.6,31,39,49,20,4.3,0
1.2,37,0.78,36,31,46,23,6.5,0
3.8,49,0.94,45,13,40,21,15,0
1.1,33,0.7,32,25,42,18,9.3,0
1.1,35,0.76,34,18,42,17,7.2,0
5,43,0.94,38,8.6,39,20,5.7,0
4.9,43,1.05,38,5.8,39,20,4.8,0
12,45,0.71,34,0.9,48,20,12,0
12,39,0.41,26,1.1,49,19,6.5,0
12,38,0.52,26,0.8,44,17,6.8,0
8.9,34,0.45,25,0.7,39,19,5.5,0
23,43,0.42,20,0.6,37,19,6.6,0
19,40,0.46,21,0.7,39,18,8.4,0
16,36,0.48,20,1.4,42,20,5.7,0
17,39,0.57,22,4.4,43,20,5.4,0
8.4,26,0.53,18,12,40,20,4.7,0
6.9,27,0.48,20,20,33,17,4.9,0
4.2,23,0.37,18,27,32,13,5,0
4.1,19,0.28,15,31,34,10,5.1,0
2,15,0.27,13,47,38,12,5.3,0
1.7,14,0.24,12,43,39,14,4.2,0
1.3,12,0.21,11,48,33,15,3.8,0
1.5,12,0.2,10,41,33,16,3.7,0
2.1,15,0.23,13,33,31,12,4.6,0
2.1,14,0.24,12,31,29,13,3.9,0
2.6,21,0.42,19,21,28,14,5.9,0
4.9,31,0.68,26,8.2,29,10,6.2,0
10,41,0.87,30,1.7,32,9,6.6,0
16,42,0.81,26,0.8,33,10,6,0
22,48,0.9,26,0.7,31,12,6.5,0
13,45,0.73,32,1.1,33,12,12,0
6.6,34,0.54,28,2.7,35,12,10,0
6.2,28,0.3,21,0.9,34,9,7.8,0
3.7,25,0.29,22,1.5,34,10,9.6,0
1.9,23,0.36,21,1.8,33,13,6,0
16,41,0.42,25,0.7,31,12,7.9,0
21,46,0.39,25,0.7,38,14,8.8,0
19,42,0.38,24,1.1,37,15,9.4,0
21,45,0.49,24,2.2,35,15,10,0
21,46,0.64,25,5.9,42,15,8.7,0
12,34,0.51,22,17,42,14,6.3,0
3.5,20,0.36,16,28,37,13,5,0
4.3,24,0.35,20,38,42,18,3.2,0
2,16,0.32,14,58,48,21,3.6,1
2,20,0.34,18,47,51,22,3.2,1
2.7,19,0.31,16,34,53,20,2.7,1
2.2,22,0.37,20,27,55,21,3.1,1
4.2,33,0.52,29,20,55,25,4.9,1
12,55,0.87,43,6.6,60,26,8,1
13,59,1.26,46,2.9,62,25,6.1,1
9.1,54,1.24,45,2.4,60,24,5,1
12,58,1.24,46,0.8,61,25,5.6,1
21,66,1.29,45,0.8,66,31,7,1
15,58,0.99,43,1,71,35,8.1,1
7.9,43,0.63,35,1,72,32,6.5,1
4.3,30,0.45,26,4,72,29,5.5,1
1.9,23,0.29,21,7.5,65,27,5.1,1
1.8,18,0.24,17,10,55,24,4.6,1
2.1,22,0.24,20,7.9,54,22,5.7,1
2.2,22,0.31,20,5.6,50,21,5.3,0
6.9,28,0.38,21,2.6,45,20,4.9,0
7.1,24,0.34,17,6.9,45,20,4.6,0
11,29,0.51,18,9.9,46,20,5.7,0
6,20,0.38,14,20,40,18,3.3,0
5,19,0.3,14,26,32,11,3.4,0
3.8,16,0.24,12,35,33,10,2.8,0
3.9,16,0.23,12,39,35,12,2.8,0
2.6,13,0.24,11,58,38,14,3.1,1
2.5,17,0.28,14,66,45,13,4.5,1
2.9,17,0.27,14,56,48,14,5.1,1
2.9,17,0.29,14,38,44,15,4.2,0
3.4,20,0.33,17,24,35,12,5.1,0
3.2,21,0.37,17,21,27,9,4,0
3.3,24,0.54,21,13,23,11,3.6,0
3.2,23,0.52,20,13,22,10,3.4,0
3,22,0.42,19,12,27,7,3.7,0
2.6,20,0.44,18,12,29,10,3.6,0
2.5,18,0.37,15,15,29,11,3.3,0
2.8,22,0.48,19,22,37,16,5.1,0
1.9,17,0.39,15,33,43,17,4.8,0
1.4,12,0.33,10,36,34,10,2.4,0
1.9,12,0.31,10,37,27,10,2.9,0
1,10,0.29,9.5,38,27,14,2.7,0
1.1,10,0.31,9.3,37,27,18,2.3,0
0.9,12,0.33,11,37,34,20,3,0
2.5,20,0.48,18,29,40,22,3.1,0
4.2,24,0.56,20,28,43,25,3.1,0
5.6,27,0.61,21,33,49,26,4.8,0
7.3,33,0.63,26,31,61,32,7.2,1
5.2,28,0.58,22,40,65,31,4.3,1
3.9,22,0.53,18,54,55,31,3.2,1
2.7,22,0.55,19,63,49,28,3.2,1
3.1,25,0.56,22,54,48,24,3.1,1
2.7,23,0.51,20,48,44,22,2.5,0
2.2,27,0.54,24,38,46,22,3.4,0
7.2,40,0.67,33,17,62,23,2.5,1
5.1,37,0.87,32,17,50,20,2.3,0
4.9,39,1.07,34,11,27,15,2.5,0
6.7,40,1.06,33,7.9,27,13,2.2,0
6.5,38,1.04,31,5.8,26,14,2.3,0
6,35,0.9,29,6.5,26,14,2.3,0
6.6,34,0.93,27,4.7,27,12,2.5,0
7.8,34,0.9,26,3.2,27,10,2.4,0
6.6,31,0.81,25,1.6,28,12,2.2,0
12,38,0.8,26,0.6,37,15,3.4,0
12,35,0.66,23,0.6,42,15,3.8,0
8.2,29,0.53,21,0.7,35,17,3.2,0
7.9,29,0.7,21,0.7,38,18,2.4,0
16,34,0.7,18,0.8,37,15,2.3,0
18,38,0.69,19,2.2,35,12,2,0
14,36,0.74,23,8.1,39,17,2.2,0
5.4,24,0.59,19,24,56,24,3.4,1
3.9,22,0.5,18,39,61,29,4.2,1
1.6,13,0.33,12,45,51,26,3.5,1
1.7,15,0.36,14,52,53,21,3.9,1
1.4,14,0.34,12,60,46,24,4.8,1
1.3,18,0.41,16,54,42,25,3.1,1
1.1,13,0.34,12,52,42,24,2.7,1
1.5,20,0.43,19,43,37,20,1.6,0
2,28,0.55,26,32,24,11,1.3,0
1.5,27,0.61,25,30,20,9,1.4,0
1.8,30,0.81,28,26,18,10,1.5,0
3.3,38,0.89,35,16,16,10,1.6,0
4.8,38,0.91,33,10,15,7,1.6,0
6.8,46,1.08,39,3.4,21,10,1.7,0
25,61,1.31,36,0.8,24,11,2.4,0
4.7,25,0.58,20,7.2,27,7,1.5,0
1.6,19,0.47,17,7.1,28,4,1.6,0
7.2,32,0.69,25,1.4,29,6,3.4,0
14,39,0.64,25,0.6,32,9,4.9,0
6.6,27,0.52,21,0.6,32,10,5.1,0
6.4,26,0.56,20,0.6,38,13,4.7,0
13,33,0.58,19,1.4,39,15,4.7,0
18,42,0.74,23,4.3,35,16,4.4,0
17,43,0.97,26,11,37,17,3.3,0
8.3,37,0.91,29,26,40,18,3.4,0
5.7,28,0.48,23,30,43,17,4.8,0
2.3,19,0.32,17,46,42,16,3.7,0
1.1,15,0.28,14,55,39,18,3.7,1
1.7,17,0.34,16,54,37,18,4.9,1
0.5,12,0.27,12,67,35,13,4,1
0.8,13,0.26,12,70,34,13,3.6,1
1.5,18,0.3,16,45,37,15,4.1,0
2.1,19,0.32,17,32,38,14,4.9,0
2,25,0.43,23,32,33,17,4.5,0
0.9,26,0.5,25,31,37,19,4.4,0
1.5,30,0.62,29,15,40,19,6.5,0
3.6,33,0.64,30,3.7,38,16,7.7,0
5.7,37,0.69,31,1.8,37,16,7.9,0
4.2,39,0.85,35,4.7,42,17,4.2,0
1.4,32,0.73,30,11,45,17,3.8,0
1.3,24,0.57,23,12,43,16,4,0
7,31,0.52,24,1.9,49,19,5.2,0
8.1,33,0.5,25,0.8,50,19,6.2,0
22,44,0.42,22,0.7,44,20,7.6,0
6.8,26,0.41,20,1.6,42,18,4.4,0
4.5,21,0.39,16,6.1,40,15,2.9,0
5.4,21,0.42,15,11,39,15,2.8,0
10,34,0.78,24,16,38,15,2.8,0
3.8,23,0.64,20,40,38,19,2.9,0
3,19,0.38,16,37,38,17,3,0
2.8,20,0.35,17,48,37,15,2.8,0
1.5,15,0.3,13,64,34,15,2.7,1
0.9,12,0.27,12,59,37,16,3.7,1
2.1,14,0.23,12,41,40,15,3.7,0
1.5,13,0.22,12,42,42,12,3.9,0
1.1,13,0.24,12,40,38,14,3.7,0
1.2,16,0.3,15,39,37,16,3.4,0
1.1,18,0.37,17,39,38,17,4.1,0
0.7,22,0.51,22,34,37,18,3.6,0
1.9,34,0.73,32,9.4,42,18,6.3,0
2.3,34,0.58,31,7,43,18,6.6,0
5.5,39,0.66,33,4.1,38,19,5.6,0
2.2,23,0.6,21,13,35,19,1.9,0
3.1,23,0.55,20,11,34,19,2,0
1,15,0.38,14,13,34,16,1.9,0
0.8,15,0.36,14,8.9,33,14,2.7,0
1.6,21,0.41,20,3.3,37,13,3.9,0
5.3,26,0.43,21,2.8,37,14,3.9,0
3.6,20,0.32,16,4.7,32,13,3.8,0
11,29,0.44,18,2.2,31,11,3.4,0
22,43,0.58,21,4.6,35,15,4.5,0
15,39,0.72,23,15,40,20,3.9,0
8.5,34,0.82,25,39,39,20,6.9,0
3.9,27,0.78,24,74,45,22,6.8,1
